"","Gene","Product"
"1","CNAG_05263","hypothetical protein"
"2","CNAG_06242","high-affinity iron permease CaFTR1"
"3","CNAG_06762","hypothetical protein"
"4","CNAG_07466","U3 small nucleolar RNA-associated protein 7, variant 2"
"5","CNAG_07466","U3 small nucleolar RNA-associated protein 7, variant 1"
"6","CNAG_07466","U3 small nucleolar RNA-associated protein 7"
"7","CNAG_00126","2-deoxy-D-gluconate 3-dehydrogenase"
"8","CNAG_00165","methylthioadenosine phosphorylase"
"9","CNAG_00264","nuclease I"
"10","CNAG_00264","nuclease I, variant"
"11","CNAG_00275","hypothetical protein"
"12","CNAG_00302","hypothetical protein"
"13","CNAG_00303","high-affinity nicotinic acid transporter"
"14","CNAG_00303","high-affinity nicotinic acid transporter, variant"
"15","CNAG_00331","anon-23da protein"
"16","CNAG_00332","hypothetical protein"
"17","CNAG_00374","hypothetical protein"
"18","CNAG_00456","hypothetical protein"
"19","CNAG_00539","membrane transporter"
"20","CNAG_00540","pantothenate transporter"
"21","CNAG_00581","saccharopepsin"
"22","CNAG_00597","amino acid transporter, variant"
"23","CNAG_00597","amino acid transporter"
"24","CNAG_00598","nicotinamide mononucleotide permease"
"25","CNAG_00654","sulfiredoxin"
"26","CNAG_00674","hypothetical protein"
"27","CNAG_00688","hypothetical protein"
"28","CNAG_00735","aldehyde dehydrogenase family 7 member A1"
"29","CNAG_00794","hypothetical protein"
"30","CNAG_00879","glutamate dehydrogenase"
"31","CNAG_00883","transcription factor"
"32","CNAG_00919","carboxypeptidase D"
"33","CNAG_00979","solute carrier family 31 (copper transporter), member 1, variant 2"
"34","CNAG_00979","solute carrier family 31 (copper transporter), member 1, variant 3"
"35","CNAG_00979","solute carrier family 31 (copper transporter), member 1, variant 1"
"36","CNAG_00979","solute carrier family 31 (copper transporter), member 1"
"37","CNAG_01138","cytochrome c peroxidase, mitochondrial"
"38","CNAG_01283","hypothetical protein"
"39","CNAG_01318","sodium/hydrogen exchanger 3"
"40","CNAG_01551","hypothetical protein"
"41","CNAG_01681","cytosine permease"
"42","CNAG_01742","aquaporin-associated protein"
"43","CNAG_01865","hypothetical protein"
"44","CNAG_01982","hypothetical protein"
"45","CNAG_01983","cAMP-independent regulatory protein"
"46","CNAG_02118","hypothetical protein"
"47","CNAG_02225","glucan 1,3-beta-glucosidase"
"48","CNAG_02297","hypothetical protein"
"49","CNAG_02323","hypothetical protein"
"50","CNAG_02455","choline transporter"
"51","CNAG_02658","hypothetical protein"
"52","CNAG_02684","hypothetical protein"
"53","CNAG_02797","hypothetical protein"
"54","CNAG_02822","hypothetical protein"
"55","CNAG_02983","hypothetical protein"
"56","CNAG_03113","trehalose synthase"
"57","CNAG_03117","hypothetical protein"
"58","CNAG_03172","hypothetical protein"
"59","CNAG_03320","mannose-1-phosphate guanylyltransferase"
"60","CNAG_03384","hypothetical protein"
"61","CNAG_03413","alginate lyase"
"62","CNAG_03438","hexose transporter"
"63","CNAG_03644","hypothetical protein"
"64","CNAG_03719","hypothetical protein"
"65","CNAG_03727","hypothetical protein"
"66","CNAG_03735","hypothetical protein"
"67","CNAG_03829","L-carnitine dehydratase/bile acid-inducible protein F"
"68","CNAG_03841","hypothetical protein"
"69","CNAG_03848","glutathione transferase"
"70","CNAG_03848","glutathione transferase, variant"
"71","CNAG_03894","hypothetical protein"
"72","CNAG_04042","hypothetical protein"
"73","CNAG_04213","signal transducer"
"74","CNAG_04283","integral membrane protein"
"75","CNAG_04283","integral membrane protein, variant"
"76","CNAG_04416","major facilitator superfamily transporter"
"77","CNAG_04546","multidrug transporter"
"78","CNAG_04623","hypothetical protein"
"79","CNAG_04625","cerevisin"
"80","CNAG_04735","extracellular elastinolytic metalloproteinase"
"81","CNAG_04736","hypothetical protein"
