"","Gene","Product"
"1","CNAG_00302","hypothetical protein"
"2","CNAG_00407","glyoxal oxidase"
"3","CNAG_00539","membrane transporter"
"4","CNAG_00735","aldehyde dehydrogenase family 7 member A1"
"5","CNAG_01551","hypothetical protein"
"6","CNAG_02475","flavin-containing monooxygenase"
"7","CNAG_02822","hypothetical protein"
"8","CNAG_03172","hypothetical protein"
"9","CNAG_04217","phosphoenolpyruvate carboxykinase (ATP)"
"10","CNAG_04626","hypothetical protein"
"11","CNAG_05867","L-fucose transporter"
"12","CNAG_05916","hypothetical protein"
"13","CNAG_06203","hypothetical protein"
"14","CNAG_06203","hypothetical protein, variant"
"15","CNAG_06431","acyl-CoA oxidase"
"16","CNAG_07626","NAD-binding Rossmann fold oxidoreductase"
